Assault,Robbery,Rape,Murder,Theft,Vehicle Theft,Burglary,Arson,Kidnapping,Drug Crimes,Vandalism,Identity Theft,Animal Cruelty,Total Violent Crime,Total Violent Crime Grade,Total Property Crime,Total Property Crime Grade,Total “Other” Rate,Total “Other” Rate Grade,Total Crime,Total Crime Grade,Zipcode,City
1.113,0.1136,0.443,0.0254,4.249,0.5835,7.63,0.1921,0.0191,0.1288,4.681,0.8236,0.0075,1.695,B,12.65,C,5.66,B,20.005000000000003,B,98303,anderson-island-wa
3.313,0.2476,0.4716,0.0667,9.044,1.445,5.364,0.0846,0.0372,0.9048,74.88,0.7497,0.0452,4.099,D,15.94,C,76.61,F,96.649,F,64831,anderson-mo
4.341,0.5427,0.4868,0.0562,22.41,2.437,6.13,0.0935,0.0522,1.256,3.487,0.6279,0.0266,5.427,D,31.07,D,5.449,A,41.946,D,29621,anderson-sc
4.341,0.5427,0.4868,0.0562,22.41,2.437,6.13,0.0935,0.0522,1.256,3.487,0.6279,0.0266,5.427,D,31.07,D,5.449,A,41.946,D,29622,anderson-sc
4.341,0.5427,0.4868,0.0562,22.41,2.437,6.13,0.0935,0.0522,1.256,3.487,0.6279,0.0266,5.427,D,31.07,D,5.449,A,41.946,D,29623,anderson-sc
4.341,0.5427,0.4868,0.0562,22.41,2.437,6.13,0.0935,0.0522,1.256,3.487,0.6279,0.0266,5.427,D,31.07,D,5.449,A,41.946,D,29624,anderson-sc
4.341,0.5427,0.4868,0.0562,22.41,2.437,6.13,0.0935,0.0522,1.256,3.487,0.6279,0.0266,5.427,D,31.07,D,5.449,A,41.946,D,29625,anderson-sc
4.341,0.5427,0.4868,0.0562,22.41,2.437,6.13,0.0935,0.0522,1.256,3.487,0.6279,0.0266,5.427,D,31.07,D,5.449,A,41.946,D,29626,anderson-sc
1.983,0.1899,0.5465,0.0318,6.671,0.1638,3.523,0.1132,0.2379,2.788,4.996,0.6517,0.0663,2.751,C,10.47,B,8.74,C,21.961,B,77830,anderson-tx
5.182,0.757,0.249,0.03,9.055,3.28,7.586,0.0669,0.0733,3.1,0.7099,1.018,0.103,6.218,D,19.99,D,5.004,A,31.211999999999996,C,31711,andersonville-ga
4.466,0.4192,0.4024,0.0185,7.872,1.604,5.04,0.1206,0.0332,2.054,3.024,0.6068,0.0336,5.306,D,14.64,C,5.751,B,25.697000000000003,C+,37705,andersonville-tn
0.3031,0.2954,0.2836,0.0121,0.9126,0.0816,0.9645,0.0089,0.0305,9.798,2.37,1.218,0.0543,0.8942,A,1.968,A,13.47,D,16.3322,A-,13731,andes-ny
1.565,0.057,0.2118,0.0057,4.852,1.236,1.667,0.0257,0.2392,0.4746,4.747,1.093,0.0154,1.84,B,7.78,A,6.57,B,16.19,A-,06232,andover-ct
1.466,0.103,0.2868,0.0123,36.71,1.095,3.396,0.0193,0.3206,0.2304,4.26,1.098,0.0034,1.868,B,41.22,D,5.913,B,49.001000000000005,D,52701,andover-ia
